feature_set,depth,learning_rate,l2_reg,val_dir_acc,val_r2,val_mae,test_dir_acc,test_r2,test_mae,total_return,sharpe,max_drawdown,win_rate
price_finbert,8,0.01,10.0,0.5071,-0.0237,0.0316,0.5047,-0.0159,0.0202,0.2003,0.6742,-0.4283,0.3791
price_only,4,0.01,5.0,0.5071,-0.0167,0.0314,0.5142,-0.0238,0.0204,0.0311,0.318,-0.2911,0.3318
price_only,3,0.03,10.0,0.5071,-0.0641,0.0319,0.4906,-0.0205,0.0204,0.0201,0.2798,-0.2766,0.2891
all_features,8,0.01,10.0,0.5071,-0.02,0.0316,0.5283,-0.0129,0.0202,0.0144,0.3139,-0.5168,0.436
all_features,8,0.01,1.0,0.5071,-0.0373,0.0319,0.5047,-0.0326,0.0204,0.2073,0.7045,-0.431,0.327
price_finbert,3,0.03,3.0,0.5071,-0.058,0.0321,0.4811,-0.0328,0.0207,-0.0067,0.2112,-0.4201,0.2891
price_finbert,3,0.01,10.0,0.5071,-0.0114,0.0314,0.5377,-0.0131,0.0203,0.0684,0.4252,-0.4646,0.4455
price_roberta,4,0.01,1.0,0.5071,-0.0316,0.0318,0.4906,-0.0213,0.0203,-0.076,0.0664,-0.4936,0.3602
price_finbert,4,0.05,10.0,0.5071,-0.073,0.0323,0.4953,-0.0351,0.0206,0.0096,0.2486,-0.453,0.2938
price_only,8,0.03,5.0,0.5071,-0.0651,0.0323,0.4906,-0.0913,0.0209,0.1733,0.6386,-0.3925,0.2891
price_finbert,2,0.01,5.0,0.5071,-0.0087,0.0314,0.5425,-0.0146,0.0203,0.1551,0.5861,-0.4467,0.4692
price_vader,4,0.05,3.0,0.5071,-0.0887,0.0323,0.4906,-0.0694,0.0207,0.1059,0.4957,-0.2672,0.2796
price_only,8,0.01,3.0,0.5071,-0.0334,0.0318,0.5283,-0.0408,0.0204,0.1241,0.5294,-0.3115,0.3175
price_roberta,8,0.03,3.0,0.5071,-0.1234,0.0333,0.5236,-0.063,0.0207,-0.0755,0.0161,-0.4562,0.2749
price_finbert,2,0.03,10.0,0.5071,-0.0302,0.0318,0.5,-0.019,0.0205,0.0948,0.4653,-0.3387,0.3507
price_only,4,0.01,1.0,0.5071,-0.0282,0.0315,0.5047,-0.024,0.0204,0.0261,0.3076,-0.3297,0.3365
price_only,4,0.03,10.0,0.5071,-0.0658,0.032,0.4858,-0.0262,0.0204,0.1592,0.6197,-0.2916,0.2654
price_only,2,0.03,1.0,0.5071,-0.0892,0.0323,0.5283,-0.0053,0.0202,-0.0185,0.1741,-0.3776,0.3081
price_only,2,0.05,1.0,0.5071,-0.1184,0.0326,0.5142,-0.0027,0.0202,0.1466,0.589,-0.2276,0.2891
price_only,2,0.05,3.0,0.5071,-0.1035,0.0324,0.5377,0.0018,0.0201,0.2051,0.7295,-0.2586,0.2891
price_finbert,3,0.05,3.0,0.5071,-0.0823,0.0325,0.4811,-0.0375,0.0207,0.0336,0.314,-0.4028,0.2891
price_vader,6,0.03,10.0,0.5071,-0.0463,0.0321,0.4858,-0.037,0.0205,0.1741,0.6595,-0.2829,0.2844
price_vader,6,0.03,5.0,0.5071,-0.0582,0.0323,0.5189,-0.0403,0.0204,0.0622,0.3864,-0.3569,0.2986
price_only,8,0.01,1.0,0.5071,-0.0416,0.032,0.4717,-0.0503,0.0206,0.1851,0.6709,-0.3156,0.2986
price_only,8,0.03,1.0,0.5024,-0.0657,0.0324,0.4906,-0.0939,0.0209,0.2516,0.811,-0.2989,0.2844
all_features,4,0.05,10.0,0.5024,-0.0792,0.0326,0.5,-0.0364,0.0206,0.0799,0.4292,-0.4147,0.2938
price_roberta,2,0.05,5.0,0.5024,-0.1059,0.0325,0.5,-0.0089,0.0203,-0.251,-0.4846,-0.4704,0.3175
price_finbert,6,0.01,1.0,0.5024,-0.0369,0.0318,0.4717,-0.03,0.0204,0.0124,0.2504,-0.3684,0.3081
price_finbert,6,0.05,10.0,0.5024,-0.0764,0.0323,0.4906,-0.0291,0.0205,0.0585,0.3758,-0.391,0.2749
price_finbert,6,0.05,1.0,0.5024,-0.1149,0.0327,0.4528,-0.0709,0.0209,-0.0093,0.1925,-0.3551,0.2796
price_finbert,6,0.05,5.0,0.5024,-0.0956,0.0323,0.4623,-0.038,0.0206,-0.0872,-0.0644,-0.3279,0.2749
price_finbert,3,0.05,1.0,0.5024,-0.0933,0.0326,0.4623,-0.0388,0.0209,0.0431,0.3292,-0.3177,0.2607
price_finbert,4,0.03,5.0,0.5024,-0.0722,0.0323,0.5094,-0.0297,0.0205,0.0168,0.271,-0.3672,0.3033
all_features,2,0.05,10.0,0.5024,-0.0425,0.0319,0.4858,-0.0341,0.0206,-0.203,-0.2511,-0.5194,0.3649
all_features,3,0.03,5.0,0.5024,-0.0502,0.032,0.4858,-0.0307,0.0205,-0.0297,0.164,-0.4313,0.3128
price_only,3,0.03,1.0,0.5024,-0.0805,0.0321,0.5047,-0.0212,0.0203,0.0464,0.3403,-0.3259,0.2701
price_vader,4,0.01,1.0,0.5024,-0.0274,0.0317,0.5189,-0.0231,0.0204,0.4267,1.0785,-0.3567,0.3602
