feature_set,depth,learning_rate,l2_reg,val_dir_acc,val_r2,val_mae,test_dir_acc,test_r2,test_mae
price_only,2,0.05,3.0,0.5213,-0.0037,0.0312,0.5472,-0.0019,0.0202
all_features,4,0.05,5.0,0.5213,-0.0045,0.0312,0.5472,-0.0025,0.0202
price_only,2,0.03,10.0,0.5213,-0.0028,0.0312,0.5472,-0.0025,0.0202
price_only,2,0.03,5.0,0.5213,-0.003,0.0312,0.5472,-0.0018,0.0202
price_only,2,0.03,3.0,0.5213,-0.003,0.0312,0.5472,-0.0018,0.0202
price_only,2,0.03,1.0,0.5213,-0.0032,0.0312,0.5472,-0.0018,0.0202
all_features,8,0.05,10.0,0.5213,-0.0026,0.0312,0.5472,-0.0042,0.0202
price_only,6,0.01,1.0,0.5213,-0.0007,0.0312,0.5472,-0.0025,0.0202
price_only,6,0.01,3.0,0.5213,-0.0016,0.0312,0.5472,-0.002,0.0202
price_only,6,0.01,5.0,0.5213,-0.0019,0.0312,0.5472,-0.0024,0.0202
price_only,6,0.01,10.0,0.5213,-0.0019,0.0312,0.5472,-0.0034,0.0202
all_features,4,0.03,1.0,0.5213,-0.0014,0.0312,0.5472,-0.0025,0.0202
all_features,4,0.03,3.0,0.5213,-0.0016,0.0312,0.5472,-0.0029,0.0202
all_features,4,0.03,5.0,0.5213,-0.0029,0.0312,0.5472,-0.0037,0.0202
all_features,4,0.03,10.0,0.5213,-0.0034,0.0312,0.5472,-0.0022,0.0202
all_features,4,0.05,1.0,0.5213,-0.0007,0.0312,0.5472,-0.0031,0.0202
all_features,4,0.05,3.0,0.5213,-0.001,0.0312,0.5472,-0.0037,0.0202
price_only,2,0.05,1.0,0.5213,-0.0032,0.0312,0.5472,-0.0017,0.0202
price_roberta,2,0.05,5.0,0.5213,-0.0026,0.0312,0.5472,-0.0015,0.0202
price_roberta,2,0.05,10.0,0.5213,-0.0027,0.0312,0.5472,-0.0017,0.0202
price_roberta,3,0.01,1.0,0.5213,-0.0026,0.0312,0.5472,-0.0017,0.0202
price_roberta,3,0.01,3.0,0.5213,-0.0024,0.0312,0.5472,-0.0017,0.0202
